"Scenario_EpCon_ID_Resp","generated response","group"
"scenario 1_knowledge_383_1","call for help",""
"scenario 1_knowledge_388_1","Call a service like AAA to jump-start his car",""
"scenario 1_knowledge_398_1","Call a friend to sit with his car until a tow truck comes",""
"scenario 1_knowledge_399_1","Call a taxi",""
"scenario 1_knowledge_400_1","He can call a tow truck to take the car and call an uber for himself.",""
"scenario 1_knowledge_403_1","Call airline support to get a changed flight",""
"scenario 1_knowledge_405_1","call uber",""
"scenario 1_knowledge_416_1","Josh could call a relative to come get him.",""
"scenario 1_knowledge_417_1","call a towtruck to come get the car",""
"scenario 1_knowledge_420_1","Phone someone to see if they can come help him with the car",""
"scenario 1_ignorance_4_1","Call a family member for help",""
"scenario 1_ignorance_8_1","Seek Help from Passersby",""
"scenario 1_ignorance_9_1","Call for tow truck ",""
"scenario 1_ignorance_17_1","hitch hike",""
"scenario 1_ignorance_18_1","Josh could check information on his phone",""
"scenario 1_ignorance_22_1","go to the airport",""
"scenario 1_ignorance_25_1","Call Lyft, Uber, or a taxi for a ride to the airport",""
"scenario 1_ignorance_26_1","Call triple A and have them drive you home",""
"scenario 1_ignorance_28_1","He could double check his departure time",""
"scenario 1_ignorance_29_1","state.",""
"scenario 1_ignorance_30_1","call a tow truck/mechanic",""
"scenario 1_ignorance_32_1","He could hitch a ride to the airport in the busy intersection",""
"scenario 1_ignorance_35_1","call an uber",""
"scenario 1_ignorance_44_1","Call a friend to pick him up and handle the situation",""
"scenario 1_ignorance_49_1","Cancel the flight.",""
"scenario 1_ignorance_50_1","Call a tow truck to tow his car to the airport.",""
"scenario 1_ignorance_53_1","Call a friend or family member for help.",""
"scenario 1_ignorance_64_1","he could call a tow truck",""
"scenario 1_ignorance_65_1","call a tow truck",""
"scenario 1_ignorance_67_1","Check whether his flight is on time",""
"scenario 1_ignorance_71_1","Leave his car",""
"scenario 1_ignorance_79_1","He would call a family member or friend to come get him.",""
"scenario 1_ignorance_81_1","call for someone to quickly fix his car",""
"scenario 1_ignorance_86_1","contact the airline",""
"scenario 1_ignorance_88_1","Call the airline, in which case he would find out about flight time",""
"scenario 1_ignorance_92_1","Call a tow truck",""
"scenario 1_ignorance_101_1","call for help",""
"scenario 1_ignorance_103_1","Call a taxi.",""
"scenario 1_ignorance_105_1","Cancel flight.",""
"scenario 1_ignorance_117_1","hitchhike",""
"scenario 1_ignorance_118_1","realize he's a bad person for going on a hunting safari and abandon all plans for the trip",""
"scenario 1_ignorance_120_1","buy a taxi",""
"scenario 1_ignorance_129_1","Call a ride service.",""
"scenario 1_ignorance_136_1","check the flight",""
"scenario 1_ignorance_140_1","he could call for a ride",""
"scenario 1_ignorance_141_1","Call a tow truck",""
"scenario 1_ignorance_142_1","call a friend for a ride",""
"scenario 1_ignorance_143_1","Call tow truck",""
"scenario 1_ignorance_150_1","call a friend for a ride",""
"scenario 1_ignorance_151_1","call roadside assistance",""
"scenario 1_ignorance_158_1","Call a friend",""
"scenario 1_ignorance_161_1","Check his flight status",""
"scenario 1_ignorance_162_1","Sit and think that this is karma for wanting to go kill innocent animals",""
"scenario 1_ignorance_169_1","Give up on making the flight",""
"scenario 1_ignorance_171_1","Call a cab",""
"scenario 1_ignorance_172_1","airport",""
"scenario 1_ignorance_182_1","Call a towtruck.",""
"scenario 1_ignorance_186_1","Call a friend",""
"scenario 1_ignorance_199_1","Call a tow truck to take his car home and catch a cab to airport",""
"scenario 1_ignorance_203_1","Honk his horn and yell at other drivers in frustration",""
"scenario 1_ignorance_205_1","call someone for a ride",""
"scenario 1_ignorance_207_1","He should call for a taxi",""
"scenario 1_ignorance_213_1","HAVE HIS CAR TOWED TO A SHOP AND LEAVE IT AND CALLING UBER FOR A RIDE TO THE AIRPORT ",""
"scenario 1_ignorance_214_1"," book a ride home",""
"scenario 1_ignorance_215_1","Call a tow truck and ask the driver if they can drop him off at the airport and then tow his car to his house",""
"scenario 1_ignorance_217_1","He will push car away from busy intersection. ",""
"scenario 1_ignorance_227_1","Hitch a ride.",""
"scenario 1_ignorance_231_1","call a friend",""
"scenario 1_ignorance_235_1","Call a roadside assistance service",""
"scenario 1_ignorance_238_1","cancel his flight",""
"scenario 1_ignorance_240_1","He should call a friend with a motorcycle to help him get there faster.",""
"scenario 1_ignorance_243_1","Josh could leave his car and call a cab",""
"scenario 1_ignorance_246_1","use his phone to check his reservation",""
"scenario 1_ignorance_247_1","Call his insurance company for assistance",""
"scenario 1_ignorance_248_1","Call a friend",""
"scenario 1_ignorance_257_1","call for help",""
"scenario 1_ignorance_260_1","Call for a taxi/uber",""
"scenario 1_ignorance_261_1","Josh could check the flight status to determine whether he has time to take care of his car",""
"scenario 1_ignorance_265_1","Reflect on what is driving him to make such a trip",""
"scenario 1_ignorance_271_1","uber",""
"scenario 1_ignorance_277_1","Call the airport to check when the plane will board.",""
"scenario 1_ignorance_279_1","call for a taxi or rideshare service",""
"scenario 1_ignorance_280_1","Call a tow truck",""
"scenario 1_ignorance_281_1","Call for roadside help.",""
"scenario 1_ignorance_286_1","Double check the flight itinerary again",""
"scenario 1_ignorance_289_1","check the flight status",""
"scenario 1_ignorance_296_1","call a tow truck",""
"scenario 1_ignorance_297_1","Check his ticket again to see how much time he has. When he learns he has more time, quickly call for emergency service.",""
"scenario 1_ignorance_301_1","Call a known, helpful friend or family member for help, explain one person needs to sith with his car & wait for tow truck, while other person needs to drive him to airport",""
"scenario 1_ignorance_303_1","Can call an Uber for ride to airport",""
"scenario 1_ignorance_322_1","call a friend",""
"scenario 1_ignorance_325_1","He could try to call a friend for help",""
"scenario 1_ignorance_332_1","call a tow truck",""
"scenario 1_ignorance_335_1","Skip the flight and stay with the car",""
"scenario 1_ignorance_337_1","call to reschedule his flight",""
"scenario 1_ignorance_341_1","call triple A to come fix car",""
"scenario 1_ignorance_345_1","call the airport",""
"scenario 1_ignorance_347_1","Flag down a taxi",""
"scenario 1_ignorance_349_1","Call a tow truck and pay a mechanic to fix his car. ",""
"scenario 1_ignorance_353_1","Call a friend ",""
"scenario 1_ignorance_364_1","start walking",""
"scenario 1_ignorance_389_1","Leave his car and catch a taxi to the airport",""
"scenario 1_ignorance_391_1","call roadside assistance",""
"scenario 1_ignorance_396_1","Call his insurance company to see if they will tow.",""
"scenario 1_ignorance_404_1","Call for roadside assistance",""
"scenario 1_ignorance_409_1","Have his car towed to a mechanic and catch a lyft to the airport.",""
"scenario 2_knowledge_1_1","call her friend",""
"scenario 2_knowledge_3_1","Retreive the phone from her bag",""
"scenario 2_knowledge_4_1","Call her friend",""
"scenario 2_knowledge_10_1","Call her friend and describe the situation",""
"scenario 2_knowledge_13_1","Call her friend.",""
"scenario 2_knowledge_16_1","go back to office",""
"scenario 2_knowledge_19_1","Ask Gym Staff for Assistance",""
"scenario 2_knowledge_36_1","Look for her friend in the parking lot.",""
"scenario 2_knowledge_39_1","play anyway",""
"scenario 2_knowledge_41_1","Talk to her friend and tell her her membership expired",""
"scenario 2_knowledge_48_1","use a nearby payphone",""
"scenario 2_knowledge_52_1","ask her friend if they can play somewhere else",""
"scenario 2_knowledge_53_1","Call her friend and tell her.",""
"scenario 2_knowledge_60_1","call her friend and explain",""
"scenario 2_knowledge_62_1","call her friend and tell her",""
"scenario 2_knowledge_63_1","Go home",""
"scenario 2_knowledge_65_1","ask the people at the desk to get her stuff",""
"scenario 2_knowledge_71_1","Tell a worker",""
"scenario 2_knowledge_76_1","SHE CAN GO TO THE DESK AND PAGE HER FRIEND",""
"scenario 2_knowledge_78_1","text her friend to see if her friend has a guest pass",""
"scenario 2_knowledge_87_1","Liz could meet her friend inside the gym and let her down",""
"scenario 2_knowledge_91_1","call her friend to ask to borrow",""
"scenario 2_knowledge_95_1","cancel plans",""
"scenario 2_knowledge_100_1","Drive back to her office to retrieve her phone",""
"scenario 2_knowledge_101_1","call her friend",""
"scenario 2_knowledge_104_1","Call her and tell her she cant come",""
"scenario 2_knowledge_113_1","Text and let her know she can't make it",""
"scenario 2_knowledge_115_1","use her phone wallet to pay the renewal",""
"scenario 2_knowledge_118_1","text her friend and let her know she can't join",""
"scenario 2_knowledge_122_1","call her friend ",""
"scenario 2_knowledge_139_1","Call her friend and make plans for racquetball a different day",""
"scenario 2_knowledge_142_1","call her friend and make other plans",""
"scenario 2_knowledge_154_1","I ",""
"scenario 2_knowledge_156_1","Use a Landline",""
"scenario 2_knowledge_160_1","Call her friend to let her know that her membership has expired.",""
"scenario 2_knowledge_164_1","Text her friend",""
"scenario 2_knowledge_173_1","Play a game of racquetball",""
"scenario 2_knowledge_180_1","call her friend",""
"scenario 2_knowledge_181_1","Call her fiend and let her know about her issue.",""
"scenario 2_knowledge_184_1","reapply for membership another time",""
"scenario 2_knowledge_186_1","Call her friend and cancel",""
"scenario 2_knowledge_187_1","Liz could drive back and get her ID and wallet",""
"scenario 2_knowledge_188_1","Ask her friend where her membership is.",""
"scenario 2_knowledge_189_1","call her friend",""
"scenario 2_knowledge_191_1","Call her friend.",""
"scenario 2_knowledge_192_1","cancel plans",""
"scenario 2_knowledge_193_1","just use the gym",""
"scenario 2_knowledge_195_1","Liz could call her friend and tell her the situation.",""
"scenario 2_knowledge_196_1","ask her friend if she could cover a renewal",""
"scenario 2_knowledge_199_1","Use her phone to try and call her friend",""
"scenario 2_knowledge_210_1","Call her friend and tell her",""
"scenario 2_knowledge_214_1","speak to the gym manager",""
"scenario 2_knowledge_219_1","return to the office",""
"scenario 2_knowledge_220_1","Ask for a day pass",""
"scenario 2_knowledge_225_1","Contact her friend and let her know of the situation",""
"scenario 2_knowledge_230_1","Renew her membership at the front desk",""
"scenario 2_knowledge_231_1","call her friend",""
"scenario 2_knowledge_234_1","She could call her friend and reschedule the game.",""
"scenario 2_knowledge_240_1","She should call the gym manager and quickly bring up the situation.",""
"scenario 2_knowledge_255_1","Call or text her friend to inform them about the expired membership and discuss alternative plans.",""
"scenario 2_knowledge_256_1","She could call her friend and apologize about the snafu, explaining what happened..",""
"scenario 2_knowledge_269_1","call her friend and let her know what happen",""
"scenario 2_knowledge_272_1","return to the office",""
"scenario 2_knowledge_273_1","Pay/ identify with her phone/digital wallet",""
"scenario 2_knowledge_274_1","Not play racquet ball ",""
"scenario 2_knowledge_280_1","Get her phone ",""
"scenario 2_knowledge_284_1","Go back to the office and cancel",""
"scenario 2_knowledge_285_1","call her friend and explain",""
"scenario 2_knowledge_286_1","Use her Apple watch if she has one to let Liz know",""
"scenario 2_knowledge_287_1","Go back to her office and get her wallet",""
"scenario 2_knowledge_289_1","Liz should be able to go in as a guest",""
"scenario 2_knowledge_296_1","return to her office",""
"scenario 2_knowledge_299_1","retrieve her phone from the gym bag to call or message her friend about the expired membership and discuss alternative plans.",""
"scenario 2_knowledge_302_1","Borrow a Phone from a Gym member",""
"scenario 2_knowledge_308_1","renew membership",""
"scenario 2_knowledge_320_1","Use someone elses phone",""
"scenario 2_knowledge_321_1","Drive back to the office",""
"scenario 2_knowledge_327_1","go back to the office",""
"scenario 2_knowledge_333_1","Call her friend and describe the situation",""
"scenario 2_knowledge_340_1","Call her friend and let her know that her membership has expired.",""
"scenario 2_knowledge_346_1","Re-park near the front entrance",""
"scenario 2_knowledge_352_1","call the friend to let her know ",""
"scenario 2_knowledge_356_1","renew her membership on the spot",""
"scenario 2_knowledge_367_1","call her friend and let her know she can't come",""
"scenario 2_knowledge_371_1","Call her friend and let her know",""
"scenario 2_knowledge_372_1","Call her friend",""
"scenario 2_knowledge_373_1","Call her friend to explain her situation.",""
"scenario 2_knowledge_377_1","Sneak into the gym through the backdoor",""
"scenario 2_knowledge_382_1","Talk to the host at the front desk to get in for the day",""
"scenario 2_knowledge_390_1","text her friend to cancel",""
"scenario 2_knowledge_392_1","Call her friend",""
"scenario 2_knowledge_397_1","call her friend and cancel plans",""
"scenario 2_knowledge_400_1","She can call her friend and inform them that her membership is expired.",""
"scenario 2_knowledge_402_1","Call her friend to let her know.",""
"scenario 2_knowledge_407_1","Call her friends and see if she could be their guest at the gym",""
"scenario 2_knowledge_419_1","get her ID and wallet in office",""
"scenario 2_ignorance_9_1","go to the front",""
"scenario 2_ignorance_14_1","Speak to the manager",""
"scenario 2_ignorance_23_1","Drive to the Office",""
"scenario 2_ignorance_24_1","Call her friend and let her know where she is",""
"scenario 2_ignorance_30_1","call her friend",""
"scenario 2_ignorance_32_1","Call her friend to let her know she can't make the gym",""
"scenario 2_ignorance_35_1","See if she can renew her membership",""
"scenario 2_ignorance_40_1","go back to work",""
"scenario 2_ignorance_45_1","Call the friend",""
"scenario 2_ignorance_46_1","Call her friend.",""
"scenario 2_ignorance_51_1","Text her friend and cancel.",""
"scenario 2_ignorance_58_1","Go back to work",""
"scenario 2_ignorance_64_1","she could call her friend and let her know",""
"scenario 2_ignorance_66_1","She could text her friend.",""
"scenario 2_ignorance_69_1","go back to work and get that stuff",""
"scenario 2_ignorance_77_1","use her phone",""
"scenario 2_ignorance_81_1","Call her friend and cancel the racquetball game",""
"scenario 2_ignorance_82_1","Ask someone nearby to use their phone to contact her friend.",""
"scenario 2_ignorance_86_1","call her friend",""
"scenario 2_ignorance_89_1","go inside and tell her friend",""
"scenario 2_ignorance_93_1","Go back to the office to get her ID and wallet",""
"scenario 2_ignorance_96_1","Inform her friend",""
"scenario 2_ignorance_99_1","Call her friend to see if she has a guest pass.",""
"scenario 2_ignorance_102_1","call her friend on the phone and let her know",""
"scenario 2_ignorance_105_1","Go in and ask her friend to help.",""
"scenario 2_ignorance_110_1","Decide to not tell her friend",""
"scenario 2_ignorance_112_1","go back and get her wallet.",""
"scenario 2_ignorance_117_1","Call the friend",""
"scenario 2_ignorance_119_1","drive and go get her ID and wallet",""
"scenario 2_ignorance_128_1","Call her friend",""
"scenario 2_ignorance_130_1","Call her friend",""
"scenario 2_ignorance_131_1","Ask her friend if she can be brought it in with a guest pass",""
"scenario 2_ignorance_136_1","call her friend",""
"scenario 2_ignorance_140_1","she could simply walk into the gym like a normal adult and ask to speak with her friend",""
"scenario 2_ignorance_144_1","look for a phone",""
"scenario 2_ignorance_146_1","Text her friend and let her know what happened.",""
"scenario 2_ignorance_153_1"," Liz could ask someone nearby if she could borrow their phone to contact her friend and inform them about the situation.",""
"scenario 2_ignorance_155_1","Call her friend for help",""
"scenario 2_ignorance_159_1","call her friend to see if she has a pass",""
"scenario 2_ignorance_162_1","Call her friend and let her know the issue ",""
"scenario 2_ignorance_163_1","call her friend to notify her she is in the parking lot",""
"scenario 2_ignorance_167_1","Call friend and explain the situation and ask for her to wait",""
"scenario 2_ignorance_176_1","Talk to the front desk ",""
"scenario 2_ignorance_177_1","talk to manager",""
"scenario 2_ignorance_178_1","call her friend.",""
"scenario 2_ignorance_179_1","Park behind the gym",""
"scenario 2_ignorance_182_1","Find another place to park.",""
"scenario 2_ignorance_183_1","call her friend and cancel",""
"scenario 2_ignorance_190_1","Call her friend and reschedule",""
"scenario 2_ignorance_200_1","Go into the gym and renew her membership",""
"scenario 2_ignorance_203_1","Call her friend and say she can't make it today",""
"scenario 2_ignorance_206_1","call her friend and explain what happened",""
"scenario 2_ignorance_209_1","She could go back to the office to get her wallet, go to the gym to renew her membership, and look for the directions to the place on her phone.",""
"scenario 2_ignorance_211_1","Ask her friend to get her in as a guest. ",""
"scenario 2_ignorance_213_1","CALL HER FRIEND",""
"scenario 2_ignorance_216_1","Liz could use her gym bag to retrieve her phone and call or text her friend to inform them of the situation and discuss alternative plans.",""
"scenario 2_ignorance_217_1","She calls her friend & cancels ",""
"scenario 2_ignorance_222_1","call her friend to explain the situation",""
"scenario 2_ignorance_232_1","Call her friend and tell her she'll be late.",""
"scenario 2_ignorance_233_1","ask the gym to use the phone so she can call her friend",""
"scenario 2_ignorance_236_1","Liz could enter the gym and ask the front desk staff or other members if she could borrow a phone to call or text her friend. This way, she can inform her friend about the expired membership and coordinate the next steps.",""
"scenario 2_ignorance_238_1","call her friend",""
"scenario 2_ignorance_239_1","Retrieve here phone to text or call friends",""
"scenario 2_ignorance_241_1","Call her friend",""
"scenario 2_ignorance_243_1","Liz can call her friend",""
"scenario 2_ignorance_244_1","Liz could call her friend and let her know about the change in plans.",""
"scenario 2_ignorance_245_1","Contact Friend",""
"scenario 2_ignorance_246_1","call her friend",""
"scenario 2_ignorance_249_1","Call her friend to let her know she can't make it",""
"scenario 2_ignorance_254_1","call her friend",""
"scenario 2_ignorance_257_1","renew membership",""
"scenario 2_ignorance_259_1","sneak into the gym",""
"scenario 2_ignorance_275_1","Text her friend to let her know",""
"scenario 2_ignorance_277_1","Go to the office and get ger wallet",""
"scenario 2_ignorance_279_1","Retrieve Her Phone from the Gym Bag to Contact Her Friend",""
"scenario 2_ignorance_291_1","She could ask her friend to pay for a renewal and pay them back later.",""
"scenario 2_ignorance_293_1","Tell her friend she cannot go to the gym today.",""
"scenario 2_ignorance_298_1","Call her friend and cancel the game",""
"scenario 2_ignorance_303_1","Call gym and update membership",""
"scenario 2_ignorance_307_1","Walk and go get it.",""
"scenario 2_ignorance_311_1","Call her friend and let her know the membership is expired.",""
"scenario 2_ignorance_315_1","Call her friend and let her know that she can't make it because her membership is expired.",""
"scenario 2_ignorance_318_1","Liz could renew her membership.",""
"scenario 2_ignorance_330_1","She can call her friend or send a message",""
"scenario 2_ignorance_331_1","Call her friend",""
"scenario 2_ignorance_336_1","Get her gym bag out and find her phone.",""
"scenario 2_ignorance_347_1","Call her friend",""
"scenario 2_ignorance_350_1","Walk to the front of the gym and wait for her friend",""
"scenario 2_ignorance_351_1","call the friend and apologize that she has to cancel",""
"scenario 2_ignorance_364_1","call her friend",""
"scenario 2_ignorance_375_1","Call her friend",""
"scenario 2_ignorance_376_1","opens her gym bag",""
"scenario 2_ignorance_378_1","move the car to the front",""
"scenario 2_ignorance_379_1","call your friend with the phone in the gym bag",""
"scenario 2_ignorance_384_1","call her friend",""
"scenario 2_ignorance_386_1","Liz would text her friend and tell her of her predicament.",""
"scenario 2_ignorance_387_1","Call her friend and be honest ",""
"scenario 2_ignorance_399_1","Call her friend",""
"scenario 2_ignorance_408_1","Physically go and tell Jill the situation.",""
"scenario 2_ignorance_414_1","Retrieve ID, wallet from office.",""
"scenario 2_ignorance_420_1","Get ahold of her friend and let her know she is there and can she meet her outside",""
"scenario 3_knowledge_1_1","call someone to bring the ticket",""
"scenario 3_knowledge_2_1","Go through like that",""
"scenario 3_knowledge_5_1","See if you can get in through the unlocked door.",""
"scenario 3_knowledge_12_1","Offer to Share Her Ticket",""
"scenario 3_knowledge_18_1","Darya could go with her friend to grab the ticket",""
"scenario 3_knowledge_20_1","Enter the concert despite closed entrance doors with Ted",""
"scenario 3_knowledge_29_1","parking",""
"scenario 3_knowledge_45_1","Go back to the house",""
"scenario 3_knowledge_47_1","go into concert",""
"scenario 3_knowledge_54_1","Get Ted into the concert sans ticket",""
"scenario 3_knowledge_55_1","Darya should ask Ted if he has a screenshot of the tickets through his email.",""
"scenario 3_knowledge_57_1","talk to a manage",""
"scenario 3_knowledge_63_1","Sneak Ted inside",""
"scenario 3_knowledge_69_1","sneak in",""
"scenario 3_knowledge_80_1","Leave Ted and go into the concert",""
"scenario 3_knowledge_82_1","darya can go by herself",""
"scenario 3_knowledge_84_1","Go in anyway",""
"scenario 3_knowledge_90_1","do nothing it is Teds problem",""
"scenario 3_knowledge_91_1","sneak him in",""
"scenario 3_knowledge_98_1","Tell Ted he doesn't have to go back and get his ticket",""
"scenario 3_knowledge_104_1","Go home with Ted and get the ticket",""
"scenario 3_knowledge_105_1","Give them their ticket.",""
"scenario 3_knowledge_107_1","politely explain to Ted that he can't go in with them",""
"scenario 3_knowledge_108_1","Enjoy the concert",""
"scenario 3_knowledge_112_1","Give Ted money for another ticket.",""
"scenario 3_knowledge_113_1","sneak Ted in",""
"scenario 3_knowledge_122_1","go in",""
"scenario 3_knowledge_125_1","Try to find someone who could help",""
"scenario 3_knowledge_127_1","sneak in to concert",""
"scenario 3_knowledge_130_1","Sneak Ted in",""
"scenario 3_knowledge_135_1","go home for the ticket",""
"scenario 3_knowledge_138_1","miss concert",""
"scenario 3_knowledge_140_1","give ted her ticket while she walks in without one",""
"scenario 3_knowledge_142_1","everyone go in through the closed door",""
"scenario 3_knowledge_143_1","Pool money to buy new ticket",""
"scenario 3_knowledge_144_1","Try to sneak in.",""
"scenario 3_knowledge_148_1","Enter the concert thru doors alone",""
"scenario 3_knowledge_149_1","try to go in",""
"scenario 3_knowledge_150_1","flirt with the security guard ",""
"scenario 3_knowledge_153_1","Darya could offer to share her ticket with Ted, allowing him to enter the concert with her and her friends.",""
"scenario 3_knowledge_159_1","just walk in",""
"scenario 3_knowledge_160_1","Abandon Ted at the entrance.",""
"scenario 3_knowledge_161_1","Nothing, not her problem",""
"scenario 3_knowledge_162_1","Leave her friend Ted to figure it out and enjoy the concert",""
"scenario 3_knowledge_163_1","leave ted behind to go to the concert",""
"scenario 3_knowledge_164_1","Give up her ticket",""
"scenario 3_knowledge_166_1","Go on and listen to the concert",""
"scenario 3_knowledge_167_1","Just go into the concert anyway",""
"scenario 3_knowledge_169_1","Sneak Ted into the concert",""
"scenario 3_knowledge_171_1","Sneak in ",""
"scenario 3_knowledge_175_1","Empathize with Ted whilst noting he's the one who forgot his ticket",""
"scenario 3_knowledge_180_1","explain to the attendans that her friend forgot his ticket and to let him in.",""
"scenario 3_knowledge_181_1","Buy another ticket",""
"scenario 3_knowledge_194_1","She can enter the concert alone",""
"scenario 3_knowledge_195_1","Darya could go in without Ted.",""
"scenario 3_knowledge_197_1","Ask some one to bring him his ticket ",""
"scenario 3_knowledge_199_1","Let Ted make up his own mind",""
"scenario 3_knowledge_200_1","Since they realize they can still get in, I would go in",""
"scenario 3_knowledge_201_1","Get angry",""
"scenario 3_knowledge_202_1","Just go in",""
"scenario 3_knowledge_208_1","Ted can see if he can buy another ticket ",""
"scenario 3_knowledge_209_1","She could try to have Ted look up his purchase of the ticket by name or payment method so the desk will know he paid for it and let him into the concert.",""
"scenario 3_knowledge_210_1","Go get the tickets",""
"scenario 3_knowledge_211_1","Ask will call if there is a record of Ted's ticket.",""
"scenario 3_knowledge_213_1","PURCHASE ANOTHER TICKET FOR TED ",""
"scenario 3_knowledge_222_1","give her ticket to Ted",""
"scenario 3_knowledge_224_1","say sorry and go on into the concert",""
"scenario 3_knowledge_226_1","Communicate with concert staff",""
"scenario 3_knowledge_228_1","Check for E-Tickets",""
